size,num_sections,num_unique_sections,section_names_entropy,avg_section_size,min_section_size,max_section_size,total_section_size,avg_entropy,min_entropy,max_entropy,has_packed_sections,has_executable_sections,writable_executable_sections,num_imports,num_unique_dlls,num_unique_imports,imports_to_dlls_ratio,has_import_name_mismatches,suspicious_imports_count,num_exports,suspicious_exports,suspicious_api_chains,has_delayed_imports,is_dll,is_executable,is_system_file,has_aslr,has_dep,is_signed,has_rich_header,rich_header_entries,num_strings,avg_string_length,has_suspicious_strings,has_anti_debug,has_vm_detection_imports,has_vm_detection_strings,has_vm_mac_addresses,has_anti_debug_imports,has_anti_debug_strings,has_process_creation_imports,has_createprocess,has_setwindowshookex,has_nop_sleds,has_resources,num_resources,has_embedded_exe,has_debug,has_tls,has_relocations,ep_in_first_section,ep_in_last_section,ep_section_entropy,has_suspicious_sections,label
7720616,8,8,3.0,964032.0,512,5165056,7712256,4.717707987685428,1.3155396048368382,6.760266163655058,0,1,0,266,5,266,53.2,0,12,2,1,1,0,0,2,0,64,256,0,0,0,65727,28.550063139957704,1,1,0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,1,0,6.387322939524046,0,0
71584,6,6,2.584962500721156,9984.0,512,31232,59904,4.60424496407761,3.5575708647651765,6.096823244613536,0,1,0,124,17,124,7.294117647058823,0,5,0,0,0,0,0,2,0,64,256,0,0,0,727,14.350756533700137,1,1,0,0,0,1,1,0,0,0,0,1,2,0,1,1,0,1,0,6.096823244613536,0,0
57512,6,6,2.584962500721156,8192.0,512,27648,49152,3.9840132270357933,2.1179387406257817,6.169149201177485,0,1,0,132,18,132,7.333333333333333,0,4,0,0,0,0,0,2,0,64,256,0,0,0,568,15.508802816901408,1,1,0,0,0,1,1,0,0,0,0,1,2,0,1,1,0,1,0,6.169149201177485,0,0
36864,7,7,2.807354922057604,4681.142857142857,4096,8192,32768,1.432180422565755,0.015920183265625623,4.596660705579296,0,1,0,45,3,45,15.0,0,4,0,0,0,0,0,2,0,64,256,0,0,0,172,9.38953488372093,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,4.596660705579296,0,0
15515496,8,8,3.0,1936640.0,3072,10456064,15493120,5.150217802662221,3.012781650312878,6.437149730754094,0,1,0,664,15,664,44.266666666666666,0,8,0,0,1,0,0,2,0,64,256,0,0,0,52437,23.79054865839007,1,1,0,1,0,1,1,0,0,0,1,1,4,0,1,1,0,1,0,6.434339632680295,0,0
1631744,5,5,2.321928094887362,326144.0,10240,1193984,1630720,5.162770905636529,0.9004692521465928,7.332284292511721,0,1,0,340,13,340,26.153846153846153,0,6,0,0,0,0,0,2,0,0,256,0,0,0,9767,10.059281253199549,1,1,0,1,0,1,1,0,0,0,1,1,3,0,1,1,0,1,0,6.659209242578002,0,0
648704,4,4,2.0,161920.0,16384,383488,647680,4.8842864633092375,1.8479343842694882,7.332202922817549,0,1,0,161,7,161,23.0,0,5,0,0,0,0,0,2,0,0,256,0,0,0,3805,10.319053876478318,1,1,0,0,0,1,1,1,1,0,1,1,3,0,1,1,0,1,0,6.644131065608579,0,0
380928,7,7,2.807354922057604,53833.142857142855,4096,188416,376832,3.44479275640355,0.015920183265625623,6.21169833418,0,1,0,189,14,189,13.5,1,5,0,0,0,0,0,2,0,64,256,0,0,0,1953,12.895033282130056,1,0,0,0,0,1,1,1,0,0,0,1,5,0,1,1,0,1,0,6.21169833418,0,0
228104,6,6,2.584962500721156,23552.0,0,96768,141312,2.46878937785573,0.0,6.497884651859417,1,1,0,171,8,171,21.375,1,4,0,0,0,0,0,2,0,64,256,0,0,0,1621,8.980876002467612,1,0,0,0,0,1,1,1,1,0,0,1,5,0,0,0,0,1,0,6.497884651859417,0,0
41864,3,3,1.584962500721156,9557.333333333334,4096,20480,28672,2.209511364725966,0.013126943721219527,4.702029125858379,0,1,0,1,1,1,1.0,0,0,0,0,0,0,0,2,0,64,256,0,0,0,455,24.00879120879121,1,0,0,0,0,0,1,0,0,0,0,1,2,0,1,0,0,1,0,4.702029125858379,0,0
